name,lng,lat,level
天一广场,121.560764,29.875846,1
印象城,121.572906,29.839322,1
鄞州万达广场,121.55216,29.832225,1
鼓楼步行街,121.553137,29.880828,1
宁波站,121.542826,29.867603,1
南塘老街,121.546859,29.861132,2
来福士,121.563927,29.88881,2
东部新城,121.625757,29.860527,2
老外滩,121.566307,29.882894,2
东钱湖,121.640333,29.786796,2
世纪东方商业广场,121.601978,29.867257,2
和义大道购物中心,121.561419,29.880005,3
钱湖天地,121.574828,29.837666,3
万达广场(江北),121.536717,29.920952,3
巴黎新地,121.577649,29.83269,4
麦德龙(鄞州商场),121.571567,29.845816,4
麦德龙(海曙商场)121.527498,29.896486,4